FECHA,FESTIVIDAD
1/01/2014,A_NUEVO
6/01/2014,FESTIVO
3/03/2014,FESTIVO
24/03/2014,FESTIVO
13/04/2014,SEM_SANTA
14/04/2014,SEM_SANTA
15/04/2014,SEM_SANTA
16/04/2014,SEM_SANTA
17/04/2014,SEM_SANTA
18/04/2014,SEM_SANTA
19/04/2014,SEM_SANTA
1/05/2014,FESTIVO
11/05/2014,MADRES
29/05/2014,FESTIVO
30/06/2014,FESTIVO
20/07/2014,FESTIVO
7/08/2014,FESTIVO
31/10/2014,BRUJAS
3/11/2014,FESTIVO
17/11/2014,FESTIVO
24/12/2014,NAVIDAD
25/12/2014,NAVIDAD
31/12/2014,NAVIDAD
1/01/2015,A_NUEVO
6/01/2015,FESTIVO
16/02/2015,FESTIVO
23/03/2015,FESTIVO
29/03/2015,SEM_SANTA
30/03/2015,SEM_SANTA
31/03/2015,SEM_SANTA
1/04/2015,SEM_SANTA
2/04/2015,SEM_SANTA
3/04/2015,SEM_SANTA
4/04/2015,SEM_SANTA
1/05/2015,FESTIVO
10/05/2015,MADRES
14/05/2015,FESTIVO
29/06/2015,FESTIVO
20/07/2015,FESTIVO
7/08/2015,FESTIVO
12/10/2015,FESTIVO
31/10/2015,BRUJAS
2/11/2015,FESTIVO
16/11/2015,FESTIVO
24/12/2015,NAVIDAD
25/12/2015,NAVIDAD
31/12/2015,NAVIDAD
1/01/2016,A_NUEVO
6/01/2016,FESTIVO
8/02/2016,FESTIVO
20/03/2016,SEM_SANTA
21/03/2016,SEM_SANTA
22/03/2016,SEM_SANTA
23/03/2016,SEM_SANTA
24/03/2016,SEM_SANTA
25/03/2016,SEM_SANTA
26/03/2016,SEM_SANTA
1/05/2016,FESTIVO
5/05/2016,FESTIVO
8/05/2016,MADRES
4/07/2016,FESTIVO
20/07/2016,FESTIVO
7/08/2016,FESTIVO
17/10/2016,FESTIVO
31/10/2016,BRUJAS
7/11/2016,FESTIVO
14/11/2016,FESTIVO
24/12/2016,NAVIDAD
25/12/2016,NAVIDAD
31/12/2016,NAVIDAD
1/01/2017,A_NUEVO
6/01/2017,FESTIVO
27/02/2017,FESTIVO
20/03/2017,FESTIVO
9/04/2017,SEM_SANTA
10/04/2017,SEM_SANTA
11/04/2017,SEM_SANTA
12/04/2017,SEM_SANTA
13/04/2017,SEM_SANTA
14/04/2017,SEM_SANTA
15/04/2017,SEM_SANTA
1/05/2017,FESTIVO
14/05/2017,MADRES
25/05/2017,FESTIVO
3/07/2017,FESTIVO
20/07/2017,FESTIVO
7/08/2017,FESTIVO
1/01/2018,A_NUEVO
8/01/2018,FESTIVO
12/02/2018,FESTIVO
19/03/2018,FESTIVO
25/03/2018,SEM_SANTA
26/03/2018,SEM_SANTA
27/03/2018,SEM_SANTA
28/03/2018,SEM_SANTA
29/03/2018,SEM_SANTA
30/03/2018,SEM_SANTA
31/03/2018,SEM_SANTA
1/05/2018,FESTIVO
13/05/2018,MADRES
14/05/2018,FESTIVO
2/07/2018,FESTIVO
20/07/2018,FESTIVO
7/08/2018,FESTIVO
15/10/2018,FESTIVO
31/10/2018,BRUJAS
5/11/2018,FESTIVO
12/11/2018,FESTIVO
24/12/2018,NAVIDAD
25/12/2018,NAVIDAD
31/12/2018,NAVIDAD
1/01/2019,A_NUEVO
7/01/2019,FESTIVO
4/03/2019,FESTIVO
25/03/2019,FESTIVO
14/04/2019,SEM_SANTA
15/04/2019,SEM_SANTA
16/04/2019,SEM_SANTA
17/04/2019,SEM_SANTA
18/04/2019,SEM_SANTA
19/04/2019,SEM_SANTA
20/04/2019,SEM_SANTA
1/05/2019,FESTIVO
12/05/2019,MADRES
3/06/2019,FESTIVO
1/07/2019,FESTIVO
20/07/2019,FESTIVO
7/08/2019,FESTIVO
14/10/2019,FESTIVO
31/10/2019,BRUJAS
4/11/2019,FESTIVO
11/11/2019,FESTIVO
24/12/2019,NAVIDAD
25/12/2019,NAVIDAD
31/12/2019,NAVIDAD
1/01/2020,A_NUEVO
6/01/2020,FESTIVO
23/03/2020,FESTIVO
6/04/2020,SEM_SANTA
7/04/2020,SEM_SANTA
8/04/2020,SEM_SANTA
9/04/2020,SEM_SANTA
10/04/2020,SEM_SANTA
11/04/2020,SEM_SANTA
12/04/2020,SEM_SANTA
1/05/2020,FESTIVO
9/05/2020,MADRES
25/05/2020,FESTIVO
15/06/2020,FESTIVO
22/06/2020,FESTIVO
29/06/2020,FESTIVO
20/07/2020,FESTIVO
17/08/2020,FESTIVO
12/10/2020,FESTIVO
31/10/2020,BRUJAS
2/11/2020,FESTIVO
16/11/2020,FESTIVO
8/12/2020,FESTIVO
24/12/2020,NAVIDAD
25/12/2020,NAVIDAD
31/12/2020,NAVIDAD
01/01/2021,A_NUEVO
11/01/2021,FESTIVO
22/03/2021,FESTIVO
28/03/2021,SEM_SANTA
29/03/2021,SEM_SANTA
30/03/2021,SEM_SANTA
31/03/2021,SEM_SANTA
01/04/2021,SEM_SANTA
02/04/2021,SEM_SANTA
03/04/2021,SEM_SANTA
04/04/2021,SEM_SANTA
01/05/2021,FESTIVO
09/05/2021,FESTIVO
17/05/2021,FESTIVO
07/06/2021,FESTIVO
14/06/2021,FESTIVO
05/07/2021,FESTIVO
20/07/2021,FESTIVO
07/08/2021,FESTIVO
16/08/2021,FESTIVO
18/10/2021,FESTIVO
31/10/2021,BRUJAS
01/11/2021,FESTIVO
15/11/2021,FESTIVO
08/12/2021,FESTIVO
24/12/2021,NAVIDAD
25/12/2021,NAVIDAD
31/12/2021,NAVIDAD
